drugname1	drugname2	cell_line	hsa
MK-4541	DASATINIB	HT29	7.0775
MK-4541	DEXAMETHASONE	HT29	3.5175
MK-4541	DINACICLIB	HT29	4.2875
MK-4541	DOXORUBICIN	HT29	9.46
MK-4541	ERLOTINIB	HT29	10.0525
MK-4541	ETOPOSIDE	HT29	5.43
MK-4541	GELDANAMYCIN	HT29	0.7125
MK-4541	GEMCITABINE	HT29	4.637499999999999
MK-4541	L778123	HT29	8.3925
MK-4541	LAPATINIB	HT29	11.3375
MK-4541	METFORMIN	HT29	0.9725
MK-4541	METHOTREXATE	HT29	-4.3975
MK-4541	MITOMYCINE	HT29	15.1525
MK-4541	MK-2206	HT29	14.705
MK-4541	MK-4827	HT29	10.7075
MK-4541	MK-5108	HT29	5.0025
MK-4541	MK-8669	HT29	2.2350000000000003
MK-4541	MK-8776	HT29	6.327500000000001
MK-4541	MRK-003	HT29	10.675
MK-4541	OXALIPLATIN	HT29	1.48
MK-4541	PACLITAXEL	HT29	4.577500000000001
MK-4541	PD325901	HT29	-0.6624999999999999
MK-4541	SN-38	HT29	4.5275
MK-4541	SORAFENIB	HT29	1.0499999999999998
MK-4541	SUNITINIB	HT29	14.6275
MK-4541	TEMOZOLOMIDE	HT29	-0.3
MK-4541	TOPOTECAN	HT29	4.4075
MK-4541	VINBLASTINE	HT29	-8.36
MK-4541	VINORELBINE	HT29	2.04
MK-4541	ZOLINZA	HT29	5.602499999999999
MK-4827	ABT-888	HT29	7.2525
MK-4827	BEZ-235	HT29	13.24
MK-4827	BORTEZOMIB	HT29	3.4875
MK-4827	DASATINIB	HT29	14.96
MK-4827	DINACICLIB	HT29	4.125
MK-4827	ERLOTINIB	HT29	15.185
MK-4827	GELDANAMYCIN	HT29	1.4725
MK-4827	MK-2206	HT29	15.925
MK-4827	MK-8669	HT29	14.295
MK-4827	MK-8776	HT29	2.2350000000000003
MK-4827	OXALIPLATIN	HT29	4.074999999999999
MK-4827	PD325901	HT29	2.1975
MK-4827	SN-38	HT29	6.2625
MK-4827	SORAFENIB	HT29	5.8575
MK-4827	TOPOTECAN	HT29	6.9075
MK-5108	ABT-888	HT29	5.5275
MK-5108	BEZ-235	HT29	11.545000000000002
MK-5108	BORTEZOMIB	HT29	0.6725
MK-5108	DASATINIB	HT29	10.8
MK-5108	DINACICLIB	HT29	2.6475
MK-5108	ERLOTINIB	HT29	6.8025
MK-5108	GELDANAMYCIN	HT29	-0.805
MK-5108	MK-2206	HT29	9.69
MK-5108	MK-4827	HT29	12.8875
MK-5108	MK-8669	HT29	6.442500000000001
MK-5108	MK-8776	HT29	0.985
MK-5108	OXALIPLATIN	HT29	3.27
MK-5108	PD325901	HT29	0.7175000000000001
MK-5108	SN-38	HT29	4.5125
MK-5108	SORAFENIB	HT29	3.635
MK-5108	TOPOTECAN	HT29	8.7875
MK-8669	BEZ-235	HT29	18.4975
MK-8669	DINACICLIB	HT29	-0.5325
MK-8669	GELDANAMYCIN	HT29	2.0875000000000004
MK-8669	MK-8776	HT29	11.025000000000002
MK-8669	OXALIPLATIN	HT29	5.605
MK-8669	SN-38	HT29	6.5675
MK-8669	SORAFENIB	HT29	7.989999999999999
MK-8669	TOPOTECAN	HT29	6.9225
MRK-003	5-FU	HT29	13.322500000000002
MRK-003	ABT-888	HT29	5.1125
MRK-003	AZD1775	HT29	12.545
MRK-003	BEZ-235	HT29	16.3275
MRK-003	BORTEZOMIB	HT29	3.805
MRK-003	CARBOPLATIN	HT29	6.827500000000001
MRK-003	CYCLOPHOSPHAMIDE	HT29	6.570000000000001
MRK-003	DASATINIB	HT29	18.0975
MRK-003	DEXAMETHASONE	HT29	8.0775
MRK-003	DINACICLIB	HT29	5.5975
MRK-003	DOXORUBICIN	HT29	6.1575
MRK-003	ERLOTINIB	HT29	18.0875
MRK-003	ETOPOSIDE	HT29	8.41
MRK-003	GELDANAMYCIN	HT29	4.234999999999999
MRK-003	GEMCITABINE	HT29	13.51
MRK-003	L778123	HT29	17.585
MRK-003	LAPATINIB	HT29	11.91375
MRK-003	METFORMIN	HT29	6.6925
MRK-003	METHOTREXATE	HT29	1.505
MRK-003	MITOMYCINE	HT29	14.6475
MRK-003	MK-2206	HT29	17.8275
MRK-003	MK-4827	HT29	16.64
MRK-003	MK-5108	HT29	8.2725
MRK-003	MK-8669	HT29	13.9225
MRK-003	MK-8776	HT29	11.9625
MRK-003	OXALIPLATIN	HT29	3.82
MRK-003	PACLITAXEL	HT29	9.12
MRK-003	PD325901	HT29	9.42
MRK-003	SN-38	HT29	9.6025
MRK-003	SORAFENIB	HT29	11.81
MRK-003	SUNITINIB	HT29	16.95375
MRK-003	TEMOZOLOMIDE	HT29	5.6525
MRK-003	TOPOTECAN	HT29	9.3725
MRK-003	VINBLASTINE	HT29	4.53
MRK-003	VINORELBINE	HT29	5.26
MRK-003	ZOLINZA	HT29	11.4025
OXALIPLATIN	DINACICLIB	HT29	1.8775
OXALIPLATIN	MK-8776	HT29	8.28
OXALIPLATIN	SORAFENIB	HT29	0.355
PACLITAXEL	ABT-888	HT29	-1.1375000000000002
PACLITAXEL	AZD1775	HT29	8.335
PACLITAXEL	BEZ-235	HT29	2.8375
PACLITAXEL	BORTEZOMIB	HT29	-1.9275
PACLITAXEL	DASATINIB	HT29	8.8125
PACLITAXEL	DINACICLIB	HT29	4.79
PACLITAXEL	ERLOTINIB	HT29	8.0075
PACLITAXEL	GELDANAMYCIN	HT29	0.21
PACLITAXEL	L778123	HT29	9.0225
PACLITAXEL	LAPATINIB	HT29	5.364999999999999
PACLITAXEL	MK-2206	HT29	9.025
PACLITAXEL	MK-4827	HT29	1.855
PACLITAXEL	MK-5108	HT29	11.1825
PACLITAXEL	MK-8669	HT29	6.9675
PACLITAXEL	MK-8776	HT29	2.175
PACLITAXEL	PD325901	HT29	1.2825
PACLITAXEL	SORAFENIB	HT29	3.885
PACLITAXEL	SUNITINIB	HT29	9.6575
PACLITAXEL	TEMOZOLOMIDE	HT29	-1.755
PACLITAXEL	ZOLINZA	HT29	9.115
PD325901	ABT-888	HT29	-3.3975
PD325901	BEZ-235	HT29	12.2675
PD325901	BORTEZOMIB	HT29	-2.1100000000000003
PD325901	DASATINIB	HT29	16.7125
PD325901	DINACICLIB	HT29	1.7975
PD325901	GELDANAMYCIN	HT29	4.9575000000000005
PD325901	MK-8669	HT29	8.162500000000001
PD325901	MK-8776	HT29	5.5825000000000005
PD325901	OXALIPLATIN	HT29	3.0025
PD325901	SN-38	HT29	-0.15
PD325901	SORAFENIB	HT29	7.345
PD325901	TOPOTECAN	HT29	3.0225
SN-38	DINACICLIB	HT29	2.65
SN-38	MK-8776	HT29	6.88
SN-38	SORAFENIB	HT29	2.3875
SORAFENIB	DINACICLIB	HT29	1.8875
SORAFENIB	MK-8776	HT29	5.8375
SUNITINIB	ABT-888	HT29	15.925
SUNITINIB	AZD1775	HT29	12.585
SUNITINIB	BEZ-235	HT29	26.7675
SUNITINIB	BORTEZOMIB	HT29	7.8125
SUNITINIB	DASATINIB	HT29	28.4175
SUNITINIB	DINACICLIB	HT29	14.855
SUNITINIB	ERLOTINIB	HT29	19.6625
SUNITINIB	GELDANAMYCIN	HT29	8.772499999999999
SUNITINIB	LAPATINIB	HT29	22.3975
SUNITINIB	MK-2206	HT29	19.9
SUNITINIB	MK-4827	HT29	19.845
SUNITINIB	MK-5108	HT29	12.3925
SUNITINIB	MK-8669	HT29	23.6475
SUNITINIB	MK-8776	HT29	21.175
SUNITINIB	OXALIPLATIN	HT29	9.6
SUNITINIB	PD325901	HT29	14.63
SUNITINIB	SN-38	HT29	13.0825
SUNITINIB	SORAFENIB	HT29	9.8175
SUNITINIB	TEMOZOLOMIDE	HT29	11.1875
SUNITINIB	TOPOTECAN	HT29	1.19
TEMOZOLOMIDE	ABT-888	HT29	9.45
TEMOZOLOMIDE	AZD1775	HT29	9.3375
TEMOZOLOMIDE	BEZ-235	HT29	7.414999999999999
TEMOZOLOMIDE	BORTEZOMIB	HT29	-1.2125
TEMOZOLOMIDE	DASATINIB	HT29	-5.23
TEMOZOLOMIDE	DINACICLIB	HT29	0.6875
TEMOZOLOMIDE	ERLOTINIB	HT29	0.3575000000000001
TEMOZOLOMIDE	GELDANAMYCIN	HT29	-3.96
TEMOZOLOMIDE	LAPATINIB	HT29	5.46
TEMOZOLOMIDE	MK-2206	HT29	1.305
TEMOZOLOMIDE	MK-4827	HT29	20.37
TEMOZOLOMIDE	MK-5108	HT29	2.2825
TEMOZOLOMIDE	MK-8669	HT29	1.66
TEMOZOLOMIDE	MK-8776	HT29	-4.8637500000000005
TEMOZOLOMIDE	OXALIPLATIN	HT29	-8.6175
TEMOZOLOMIDE	PD325901	HT29	-5.0075
TEMOZOLOMIDE	SN-38	HT29	-0.975
TEMOZOLOMIDE	SORAFENIB	HT29	-4.54
TEMOZOLOMIDE	TOPOTECAN	HT29	2.395
TOPOTECAN	BEZ-235	HT29	9.61
TOPOTECAN	DINACICLIB	HT29	0.7650000000000001
TOPOTECAN	MK-8776	HT29	8.45
TOPOTECAN	SORAFENIB	HT29	3.49
VINBLASTINE	ABT-888	HT29	-22.345
VINBLASTINE	AZD1775	HT29	1.58
VINBLASTINE	BEZ-235	HT29	-0.4349999999999999
VINBLASTINE	BORTEZOMIB	HT29	0.2849999999999999
VINBLASTINE	DASATINIB	HT29	-5.115
VINBLASTINE	DINACICLIB	HT29	-4.4625
VINBLASTINE	ERLOTINIB	HT29	4.3175
VINBLASTINE	GELDANAMYCIN	HT29	-4.0425
VINBLASTINE	L778123	HT29	8.45
VINBLASTINE	LAPATINIB	HT29	-3.3774999999999995
VINBLASTINE	MK-2206	HT29	-5.187500000000001
VINBLASTINE	MK-4827	HT29	-4.3100000000000005
VINBLASTINE	MK-5108	HT29	3.9375
VINBLASTINE	MK-8669	HT29	-5.8125
VINBLASTINE	MK-8776	HT29	-7.095000000000001
VINBLASTINE	PD325901	HT29	-5.53
VINBLASTINE	SORAFENIB	HT29	2.7525000000000004
VINBLASTINE	SUNITINIB	HT29	2.3025
VINBLASTINE	TEMOZOLOMIDE	HT29	-21.39
VINBLASTINE	ZOLINZA	HT29	0.5099999999999999
VINORELBINE	ABT-888	HT29	-1.5699999999999998
VINORELBINE	AZD1775	HT29	4.7525
VINORELBINE	BEZ-235	HT29	3.0925
VINORELBINE	BORTEZOMIB	HT29	0.79
VINORELBINE	DASATINIB	HT29	3.76
VINORELBINE	DINACICLIB	HT29	1.2625
VINORELBINE	ERLOTINIB	HT29	4.65
VINORELBINE	GELDANAMYCIN	HT29	-0.2099999999999999
VINORELBINE	LAPATINIB	HT29	4.0125
VINORELBINE	MK-2206	HT29	4.592499999999999
VINORELBINE	MK-4827	HT29	-0.4099999999999999
VINORELBINE	MK-5108	HT29	5.485
VINORELBINE	MK-8669	HT29	6.407500000000001
VINORELBINE	MK-8776	HT29	3.5025
VINORELBINE	PD325901	HT29	-1.5075
VINORELBINE	SORAFENIB	HT29	2.4175
VINORELBINE	SUNITINIB	HT29	6.125
VINORELBINE	TEMOZOLOMIDE	HT29	-0.79
VINORELBINE	ZOLINZA	HT29	5.035
ZOLINZA	ABT-888	HT29	1.4299999999999995
ZOLINZA	AZD1775	HT29	6.9275
ZOLINZA	BEZ-235	HT29	9.71
ZOLINZA	BORTEZOMIB	HT29	4.2325
ZOLINZA	DASATINIB	HT29	3.995000000000001
ZOLINZA	DINACICLIB	HT29	-0.81
ZOLINZA	ERLOTINIB	HT29	6.472499999999999
ZOLINZA	GELDANAMYCIN	HT29	1.8525
ZOLINZA	GEMCITABINE	HT29	7.69
ZOLINZA	LAPATINIB	HT29	10.47
ZOLINZA	MK-2206	HT29	15.0775
ZOLINZA	MK-4827	HT29	9.4725
ZOLINZA	MK-5108	HT29	6.5975
ZOLINZA	MK-8669	HT29	7.4925
ZOLINZA	MK-8776	HT29	5.92
ZOLINZA	OXALIPLATIN	HT29	4.865
ZOLINZA	PD325901	HT29	3.0325
ZOLINZA	SN-38	HT29	8.1925
ZOLINZA	SORAFENIB	HT29	2.835
ZOLINZA	SUNITINIB	HT29	11.5175
ZOLINZA	TEMOZOLOMIDE	HT29	1.1975
ZOLINZA	TOPOTECAN	HT29	6.02
5-FU	ABT-888	KPL1	2.6075
5-FU	AZD1775	KPL1	1.6975
5-FU	BEZ-235	KPL1	6.137499999999999
5-FU	BORTEZOMIB	KPL1	-0.435
5-FU	DASATINIB	KPL1	2.4375
5-FU	DINACICLIB	KPL1	-0.3100000000000001
5-FU	ERLOTINIB	KPL1	3.5700000000000003
5-FU	GELDANAMYCIN	KPL1	2.0
5-FU	L778123	KPL1	2.9825
5-FU	LAPATINIB	KPL1	0.8099999999999999
5-FU	MK-2206	KPL1	8.4675
5-FU	MK-4827	KPL1	0.655
5-FU	MK-5108	KPL1	2.945
5-FU	MK-8669	KPL1	5.05
5-FU	MK-8776	KPL1	1.8125
5-FU	PD325901	KPL1	-2.4525
5-FU	SORAFENIB	KPL1	0.07
5-FU	SUNITINIB	KPL1	8.345
5-FU	TEMOZOLOMIDE	KPL1	-11.3975
5-FU	ZOLINZA	KPL1	1.105
ABT-888	BEZ-235	KPL1	9.255
ABT-888	DINACICLIB	KPL1	6.24
ABT-888	GELDANAMYCIN	KPL1	4.7025
ABT-888	MK-8669	KPL1	13.7725
ABT-888	MK-8776	KPL1	1.3675
ABT-888	OXALIPLATIN	KPL1	4.93
ABT-888	SN-38	KPL1	3.5375
ABT-888	SORAFENIB	KPL1	5.94
ABT-888	TOPOTECAN	KPL1	3.8975
AZD1775	ABT-888	KPL1	2.2125
AZD1775	BEZ-235	KPL1	9.7975
AZD1775	BORTEZOMIB	KPL1	0.5
AZD1775	DASATINIB	KPL1	13.677500000000002
AZD1775	DINACICLIB	KPL1	0.2750000000000001
AZD1775	ERLOTINIB	KPL1	8.9525
AZD1775	GELDANAMYCIN	KPL1	4.242500000000001
AZD1775	LAPATINIB	KPL1	8.825
AZD1775	MK-2206	KPL1	12.954999999999998
AZD1775	MK-4827	KPL1	3.7125
AZD1775	MK-5108	KPL1	5.9975000000000005
AZD1775	MK-8669	KPL1	15.1
AZD1775	MK-8776	KPL1	11.7575
AZD1775	OXALIPLATIN	KPL1	0.255
AZD1775	PD325901	KPL1	2.765
AZD1775	SN-38	KPL1	5.52
AZD1775	SORAFENIB	KPL1	6.455
AZD1775	TOPOTECAN	KPL1	6.5675
BEZ-235	DINACICLIB	KPL1	3.515
BEZ-235	MK-8776	KPL1	3.5675000000000003
BEZ-235	OXALIPLATIN	KPL1	8.5275
BEZ-235	SN-38	KPL1	8.4925
BEZ-235	SORAFENIB	KPL1	6.8725
BORTEZOMIB	ABT-888	KPL1	3.0
BORTEZOMIB	BEZ-235	KPL1	4.22
BORTEZOMIB	DASATINIB	KPL1	2.9325
BORTEZOMIB	DINACICLIB	KPL1	1.8525
BORTEZOMIB	GELDANAMYCIN	KPL1	-3.7325
BORTEZOMIB	MK-8669	KPL1	7.130000000000001
BORTEZOMIB	MK-8776	KPL1	-0.5399999999999999
BORTEZOMIB	OXALIPLATIN	KPL1	0.2174999999999999
BORTEZOMIB	SN-38	KPL1	0.0325
BORTEZOMIB	SORAFENIB	KPL1	2.45
BORTEZOMIB	TOPOTECAN	KPL1	-0.1349999999999998
CARBOPLATIN	ABT-888	KPL1	6.4475
CARBOPLATIN	AZD1775	KPL1	4.4775
CARBOPLATIN	BEZ-235	KPL1	7.657500000000001
CARBOPLATIN	BORTEZOMIB	KPL1	3.755
CARBOPLATIN	DASATINIB	KPL1	4.2875000000000005
CARBOPLATIN	DINACICLIB	KPL1	-0.7925000000000001
CARBOPLATIN	ERLOTINIB	KPL1	4.3
CARBOPLATIN	GELDANAMYCIN	KPL1	-1.3875000000000002
CARBOPLATIN	L778123	KPL1	-4.005
CARBOPLATIN	LAPATINIB	KPL1	3.42
CARBOPLATIN	MK-2206	KPL1	1.6625
CARBOPLATIN	MK-4827	KPL1	6.72
CARBOPLATIN	MK-5108	KPL1	5.4625
CARBOPLATIN	MK-8669	KPL1	12.5325
CARBOPLATIN	MK-8776	KPL1	8.1125
CARBOPLATIN	PD325901	KPL1	5.045
CARBOPLATIN	SORAFENIB	KPL1	-2.525
CARBOPLATIN	SUNITINIB	KPL1	5.1325
CARBOPLATIN	TEMOZOLOMIDE	KPL1	4.859999999999999
CARBOPLATIN	ZOLINZA	KPL1	3.435
CYCLOPHOSPHAMIDE	ABT-888	KPL1	-5.6525
CYCLOPHOSPHAMIDE	AZD1775	KPL1	1.9925
CYCLOPHOSPHAMIDE	BEZ-235	KPL1	3.6175
CYCLOPHOSPHAMIDE	BORTEZOMIB	KPL1	-6.539999999999999
CYCLOPHOSPHAMIDE	DASATINIB	KPL1	-1.4449999999999998
CYCLOPHOSPHAMIDE	DINACICLIB	KPL1	-3.5525
CYCLOPHOSPHAMIDE	ERLOTINIB	KPL1	-1.9525
CYCLOPHOSPHAMIDE	GELDANAMYCIN	KPL1	2.855
CYCLOPHOSPHAMIDE	L778123	KPL1	-7.260000000000001
CYCLOPHOSPHAMIDE	LAPATINIB	KPL1	-0.4274999999999999
CYCLOPHOSPHAMIDE	MK-2206	KPL1	9.5375
CYCLOPHOSPHAMIDE	MK-4827	KPL1	1.8825
CYCLOPHOSPHAMIDE	MK-5108	KPL1	4.035
CYCLOPHOSPHAMIDE	MK-8669	KPL1	11.56
CYCLOPHOSPHAMIDE	MK-8776	KPL1	-8.135000000000002
CYCLOPHOSPHAMIDE	PD325901	KPL1	7.18
CYCLOPHOSPHAMIDE	SORAFENIB	KPL1	0.5275
CYCLOPHOSPHAMIDE	SUNITINIB	KPL1	6.8725000000000005
CYCLOPHOSPHAMIDE	TEMOZOLOMIDE	KPL1	-6.105
CYCLOPHOSPHAMIDE	ZOLINZA	KPL1	6.250000000000001
DASATINIB	ABT-888	KPL1	4.1525
DASATINIB	BEZ-235	KPL1	8.655
DASATINIB	DINACICLIB	KPL1	4.84
DASATINIB	GELDANAMYCIN	KPL1	3.005
DASATINIB	MK-8669	KPL1	10.855
DASATINIB	MK-8776	KPL1	11.485
DASATINIB	OXALIPLATIN	KPL1	2.0025
DASATINIB	SN-38	KPL1	8.065
DASATINIB	SORAFENIB	KPL1	3.13
DASATINIB	TOPOTECAN	KPL1	5.782500000000001
DEXAMETHASONE	ABT-888	KPL1	5.244999999999999
DEXAMETHASONE	AZD1775	KPL1	11.7
DEXAMETHASONE	BEZ-235	KPL1	11.7125
DEXAMETHASONE	BORTEZOMIB	KPL1	-0.955
DEXAMETHASONE	DASATINIB	KPL1	16.3625
DEXAMETHASONE	DINACICLIB	KPL1	-1.4275000000000002
DEXAMETHASONE	ERLOTINIB	KPL1	4.449999999999999
DEXAMETHASONE	GELDANAMYCIN	KPL1	3.0725
DEXAMETHASONE	L778123	KPL1	9.245
DEXAMETHASONE	LAPATINIB	KPL1	1.8175
DEXAMETHASONE	MK-2206	KPL1	15.972499999999998
DEXAMETHASONE	MK-4827	KPL1	7.557499999999999
DEXAMETHASONE	MK-5108	KPL1	14.572500000000002
DEXAMETHASONE	MK-8669	KPL1	20.2175
DEXAMETHASONE	MK-8776	KPL1	14.8475
DEXAMETHASONE	PD325901	KPL1	-1.1025
DEXAMETHASONE	SORAFENIB	KPL1	5.47
DEXAMETHASONE	SUNITINIB	KPL1	16.1225
DEXAMETHASONE	TEMOZOLOMIDE	KPL1	-3.6725
DEXAMETHASONE	ZOLINZA	KPL1	2.0700000000000003
DINACICLIB	MK-8776	KPL1	-1.4025
DOXORUBICIN	ABT-888	KPL1	-3.72
DOXORUBICIN	AZD1775	KPL1	0.9875000000000002
DOXORUBICIN	BEZ-235	KPL1	5.3275
DOXORUBICIN	BORTEZOMIB	KPL1	-1.015
DOXORUBICIN	DASATINIB	KPL1	7.085000000000001
DOXORUBICIN	DINACICLIB	KPL1	-1.0724999999999998
DOXORUBICIN	ERLOTINIB	KPL1	1.9775
DOXORUBICIN	GELDANAMYCIN	KPL1	-3.2775000000000003
DOXORUBICIN	L778123	KPL1	-2.6375
DOXORUBICIN	LAPATINIB	KPL1	2.915
DOXORUBICIN	MK-2206	KPL1	10.0225
DOXORUBICIN	MK-4827	KPL1	-1.3400000000000003
DOXORUBICIN	MK-5108	KPL1	-5.335000000000001
DOXORUBICIN	MK-8669	KPL1	8.175
DOXORUBICIN	MK-8776	KPL1	-3.885
DOXORUBICIN	PD325901	KPL1	-4.1625
DOXORUBICIN	SORAFENIB	KPL1	1.71
DOXORUBICIN	SUNITINIB	KPL1	5.045
DOXORUBICIN	TEMOZOLOMIDE	KPL1	-10.4375
DOXORUBICIN	ZOLINZA	KPL1	-0.1875
ERLOTINIB	ABT-888	KPL1	1.4299999999999995
ERLOTINIB	BEZ-235	KPL1	8.5
ERLOTINIB	BORTEZOMIB	KPL1	1.9125
ERLOTINIB	DASATINIB	KPL1	0.525
ERLOTINIB	DINACICLIB	KPL1	2.1625
ERLOTINIB	GELDANAMYCIN	KPL1	4.2675
ERLOTINIB	MK-8669	KPL1	11.425
ERLOTINIB	MK-8776	KPL1	2.5525
ERLOTINIB	OXALIPLATIN	KPL1	3.5825000000000005
ERLOTINIB	PD325901	KPL1	-1.1525
ERLOTINIB	SN-38	KPL1	8.135
ERLOTINIB	SORAFENIB	KPL1	6.42
ERLOTINIB	TOPOTECAN	KPL1	10.545
ETOPOSIDE	ABT-888	KPL1	2.335
ETOPOSIDE	AZD1775	KPL1	9.92
ETOPOSIDE	BEZ-235	KPL1	5.7700000000000005
ETOPOSIDE	BORTEZOMIB	KPL1	-0.8474999999999999
ETOPOSIDE	DASATINIB	KPL1	6.49
ETOPOSIDE	DINACICLIB	KPL1	1.015
ETOPOSIDE	ERLOTINIB	KPL1	6.3575
ETOPOSIDE	GELDANAMYCIN	KPL1	2.5225
ETOPOSIDE	LAPATINIB	KPL1	3.87
ETOPOSIDE	MK-2206	KPL1	14.2375
ETOPOSIDE	MK-4827	KPL1	4.7475
ETOPOSIDE	MK-5108	KPL1	1.535
ETOPOSIDE	MK-8669	KPL1	12.56
ETOPOSIDE	MK-8776	KPL1	7.944999999999999
ETOPOSIDE	PD325901	KPL1	0.4225000000000001
ETOPOSIDE	SORAFENIB	KPL1	5.0600000000000005
ETOPOSIDE	SUNITINIB	KPL1	10.1475
ETOPOSIDE	TEMOZOLOMIDE	KPL1	-0.545
ETOPOSIDE	ZOLINZA	KPL1	5.369999999999999
GELDANAMYCIN	BEZ-235	KPL1	4.555
GELDANAMYCIN	DINACICLIB	KPL1	1.2425
GELDANAMYCIN	MK-8776	KPL1	-1.0074999999999998
GELDANAMYCIN	OXALIPLATIN	KPL1	2.4475
GELDANAMYCIN	SN-38	KPL1	1.015
GELDANAMYCIN	SORAFENIB	KPL1	1.8075
GELDANAMYCIN	TOPOTECAN	KPL1	5.2025
GEMCITABINE	ABT-888	KPL1	3.7975
GEMCITABINE	AZD1775	KPL1	3.97
GEMCITABINE	BEZ-235	KPL1	9.105
GEMCITABINE	BORTEZOMIB	KPL1	-2.455
GEMCITABINE	DASATINIB	KPL1	5.047499999999999
GEMCITABINE	DINACICLIB	KPL1	-0.78
GEMCITABINE	ERLOTINIB	KPL1	6.2525
GEMCITABINE	GELDANAMYCIN	KPL1	-1.3175
GEMCITABINE	LAPATINIB	KPL1	2.9075
GEMCITABINE	MK-2206	KPL1	16.244999999999997
GEMCITABINE	MK-4827	KPL1	2.635
GEMCITABINE	MK-5108	KPL1	3.0075
GEMCITABINE	MK-8669	KPL1	12.685
GEMCITABINE	MK-8776	KPL1	4.702500000000001
GEMCITABINE	PD325901	KPL1	3.37
GEMCITABINE	SORAFENIB	KPL1	2.985
GEMCITABINE	SUNITINIB	KPL1	8.505
GEMCITABINE	TEMOZOLOMIDE	KPL1	-8.092500000000001
L778123	ABT-888	KPL1	-0.3200000000000002
L778123	AZD1775	KPL1	3.3050000000000006
L778123	BEZ-235	KPL1	11.125
L778123	BORTEZOMIB	KPL1	2.6
L778123	DASATINIB	KPL1	0.9825
L778123	DINACICLIB	KPL1	-0.175
L778123	ERLOTINIB	KPL1	1.3
L778123	ETOPOSIDE	KPL1	-2.89
L778123	GELDANAMYCIN	KPL1	2.3775
L778123	GEMCITABINE	KPL1	0.6649999999999999
L778123	LAPATINIB	KPL1	3.3975
L778123	MK-2206	KPL1	20.325
L778123	MK-4827	KPL1	-2.1274999999999995
L778123	MK-5108	KPL1	-0.5599999999999999
L778123	MK-8669	KPL1	15.065
L778123	MK-8776	KPL1	-1.7225
L778123	OXALIPLATIN	KPL1	-2.715
L778123	PD325901	KPL1	-3.4475
L778123	SN-38	KPL1	-2.0725
L778123	SORAFENIB	KPL1	6.2925
L778123	SUNITINIB	KPL1	11.7575
L778123	TEMOZOLOMIDE	KPL1	-12.4925
L778123	TOPOTECAN	KPL1	2.475
L778123	VINORELBINE	KPL1	3.9725
L778123	ZOLINZA	KPL1	5.93
LAPATINIB	ABT-888	KPL1	4.437499999999999
LAPATINIB	BEZ-235	KPL1	8.015
LAPATINIB	BORTEZOMIB	KPL1	4.1475
LAPATINIB	DASATINIB	KPL1	6.0675
LAPATINIB	DINACICLIB	KPL1	2.7075
LAPATINIB	ERLOTINIB	KPL1	-2.55
LAPATINIB	GELDANAMYCIN	KPL1	8.435
LAPATINIB	MK-2206	KPL1	13.75
LAPATINIB	MK-4827	KPL1	6.864999999999999
LAPATINIB	MK-5108	KPL1	2.335
LAPATINIB	MK-8669	KPL1	9.455
LAPATINIB	MK-8776	KPL1	2.545
LAPATINIB	OXALIPLATIN	KPL1	2.1175
LAPATINIB	PD325901	KPL1	7.312500000000001
LAPATINIB	SN-38	KPL1	6.455
LAPATINIB	SORAFENIB	KPL1	7.5475
LAPATINIB	TOPOTECAN	KPL1	7.645000000000001
METFORMIN	ABT-888	KPL1	-4.215
METFORMIN	AZD1775	KPL1	0.9424999999999996
METFORMIN	BEZ-235	KPL1	2.5225
METFORMIN	BORTEZOMIB	KPL1	-11.305
METFORMIN	DASATINIB	KPL1	3.7175
METFORMIN	DINACICLIB	KPL1	-2.635
METFORMIN	ERLOTINIB	KPL1	3.66
METFORMIN	GELDANAMYCIN	KPL1	-2.3275
METFORMIN	L778123	KPL1	-6.949999999999999
METFORMIN	LAPATINIB	KPL1	3.39
METFORMIN	MK-2206	KPL1	3.3875
METFORMIN	MK-4827	KPL1	-0.585
METFORMIN	MK-5108	KPL1	-2.595
METFORMIN	MK-8669	KPL1	5.380000000000001
METFORMIN	MK-8776	KPL1	-4.89
METFORMIN	PD325901	KPL1	-6.0625
METFORMIN	SORAFENIB	KPL1	-0.2324999999999999
METFORMIN	SUNITINIB	KPL1	5.844999999999999
METFORMIN	TEMOZOLOMIDE	KPL1	-6.157500000000001
METFORMIN	ZOLINZA	KPL1	-0.4325
METHOTREXATE	ABT-888	KPL1	0.135
METHOTREXATE	AZD1775	KPL1	-2.7275
METHOTREXATE	BEZ-235	KPL1	-1.5100000000000002
METHOTREXATE	BORTEZOMIB	KPL1	-2.22
METHOTREXATE	DASATINIB	KPL1	-0.7849999999999999
METHOTREXATE	DINACICLIB	KPL1	0.2299999999999999
METHOTREXATE	ERLOTINIB	KPL1	3.2975
METHOTREXATE	GELDANAMYCIN	KPL1	-8.325
METHOTREXATE	L778123	KPL1	-10.1075
METHOTREXATE	LAPATINIB	KPL1	-0.45
METHOTREXATE	MK-2206	KPL1	-0.655
METHOTREXATE	MK-4827	KPL1	-5.7
METHOTREXATE	MK-5108	KPL1	-7.4025
METHOTREXATE	MK-8669	KPL1	1.6325
METHOTREXATE	MK-8776	KPL1	-5.355
METHOTREXATE	PD325901	KPL1	1.0575
METHOTREXATE	SORAFENIB	KPL1	-1.0550000000000002
METHOTREXATE	SUNITINIB	KPL1	-2.83
