drugname1	drugname2	cell_line	loewe
BORTEZOMIB	ABT-888	A427	-4.9171749814
BORTEZOMIB	BEZ-235	A427	0.7876948449
BORTEZOMIB	DASATINIB	A427	15.3285354475
BORTEZOMIB	DINACICLIB	A427	-13.0865991306
BORTEZOMIB	GELDANAMYCIN	A427	1.0947212322
BORTEZOMIB	MK-8669	A427	-2.7044142653
BORTEZOMIB	MK-8776	A427	-7.5617437623
BORTEZOMIB	OXALIPLATIN	A427	-20.6619228201
BORTEZOMIB	SN-38	A427	-9.7591487237
BORTEZOMIB	SORAFENIB	A427	-0.5195874504
BORTEZOMIB	TOPOTECAN	A427	-0.0054900453
CARBOPLATIN	ABT-888	A427	-9.0821472857
CARBOPLATIN	AZD1775	A427	2.4050431971
CARBOPLATIN	BEZ-235	A427	15.6351920195
CARBOPLATIN	BORTEZOMIB	A427	-7.195475802000001
CARBOPLATIN	DASATINIB	A427	32.284924913400005
CARBOPLATIN	DINACICLIB	A427	-10.5355286858
CARBOPLATIN	ERLOTINIB	A427	0.9803958931
CARBOPLATIN	GELDANAMYCIN	A427	-7.3968247641
CARBOPLATIN	L778123	A427	8.8903020397
CARBOPLATIN	LAPATINIB	A427	-15.0562609435
CARBOPLATIN	MK-2206	A427	9.1722720345
CARBOPLATIN	MK-4827	A427	-4.165918270400001
CARBOPLATIN	MK-5108	A427	-11.4144460595
CARBOPLATIN	MK-8669	A427	25.1939816712
CARBOPLATIN	MK-8776	A427	4.1802590744
CARBOPLATIN	PD325901	A427	-18.1182122227
CARBOPLATIN	SORAFENIB	A427	-1.5014053712
CARBOPLATIN	SUNITINIB	A427	6.257997178099999
CARBOPLATIN	TEMOZOLOMIDE	A427	-11.5781200317
CARBOPLATIN	ZOLINZA	A427	-29.5311620287
CYCLOPHOSPHAMIDE	ABT-888	A427	-11.6388796799
CYCLOPHOSPHAMIDE	AZD1775	A427	4.3783281562
CYCLOPHOSPHAMIDE	BEZ-235	A427	6.8435760302
CYCLOPHOSPHAMIDE	BORTEZOMIB	A427	-8.5027727279
CYCLOPHOSPHAMIDE	DASATINIB	A427	17.46960422
CYCLOPHOSPHAMIDE	DINACICLIB	A427	6.4099319682
CYCLOPHOSPHAMIDE	ERLOTINIB	A427	0.6336468358
CYCLOPHOSPHAMIDE	GELDANAMYCIN	A427	-2.1847004024000003
CYCLOPHOSPHAMIDE	L778123	A427	4.8839129775
CYCLOPHOSPHAMIDE	LAPATINIB	A427	-21.2515072311
CYCLOPHOSPHAMIDE	MK-2206	A427	4.6718742884
CYCLOPHOSPHAMIDE	MK-4827	A427	-10.7346262995
CYCLOPHOSPHAMIDE	MK-5108	A427	7.4158459105
CYCLOPHOSPHAMIDE	MK-8669	A427	22.793096953800003
CYCLOPHOSPHAMIDE	MK-8776	A427	-6.499720942100001
CYCLOPHOSPHAMIDE	PD325901	A427	-9.9610445344
CYCLOPHOSPHAMIDE	SORAFENIB	A427	4.910622428
CYCLOPHOSPHAMIDE	SUNITINIB	A427	3.4601463142
CYCLOPHOSPHAMIDE	TEMOZOLOMIDE	A427	-4.560880790400001
CYCLOPHOSPHAMIDE	ZOLINZA	A427	-9.913540803
DASATINIB	ABT-888	A427	27.526456625700003
DASATINIB	BEZ-235	A427	73.6337576115
DASATINIB	DINACICLIB	A427	16.964241374700002
DASATINIB	GELDANAMYCIN	A427	28.0045111205
DASATINIB	MK-8669	A427	48.6036918649
DASATINIB	MK-8776	A427	78.39036701755
DASATINIB	OXALIPLATIN	A427	14.3108429798
DASATINIB	SN-38	A427	28.1954615418
DASATINIB	SORAFENIB	A427	27.8530400741
DASATINIB	TOPOTECAN	A427	57.6444936961
DEXAMETHASONE	ABT-888	A427	-10.6098777753
DEXAMETHASONE	AZD1775	A427	7.0675192948
DEXAMETHASONE	BEZ-235	A427	3.3336003644
DEXAMETHASONE	BORTEZOMIB	A427	6.1325345963
DEXAMETHASONE	DASATINIB	A427	0.3863934638
DEXAMETHASONE	DINACICLIB	A427	8.232042313
DEXAMETHASONE	ERLOTINIB	A427	-6.810845522999999
DEXAMETHASONE	GELDANAMYCIN	A427	4.7441009172
DEXAMETHASONE	L778123	A427	9.7565112713
DEXAMETHASONE	LAPATINIB	A427	-10.154452481
DEXAMETHASONE	MK-2206	A427	3.459132907
DEXAMETHASONE	MK-4827	A427	-4.9474297244
DEXAMETHASONE	MK-5108	A427	-2.8702335707
DEXAMETHASONE	MK-8669	A427	17.7718057043
DEXAMETHASONE	MK-8776	A427	-4.4178794935
DEXAMETHASONE	PD325901	A427	-23.3956071261
DEXAMETHASONE	SORAFENIB	A427	5.5084525752
DEXAMETHASONE	SUNITINIB	A427	1.4619406780000002
DEXAMETHASONE	TEMOZOLOMIDE	A427	-7.1723142252
DEXAMETHASONE	ZOLINZA	A427	-30.7940974817
DINACICLIB	MK-8776	A427	3.3196161254
DOXORUBICIN	ABT-888	A427	1.9172708239
DOXORUBICIN	AZD1775	A427	-1.0115159949
DOXORUBICIN	BEZ-235	A427	9.8429737681
DOXORUBICIN	BORTEZOMIB	A427	-10.0282809883
DOXORUBICIN	DASATINIB	A427	27.8979594583
DOXORUBICIN	DINACICLIB	A427	-1.2159319673
DOXORUBICIN	ERLOTINIB	A427	-5.677250807999999
DOXORUBICIN	GELDANAMYCIN	A427	6.768885512200001
DOXORUBICIN	L778123	A427	-4.1643508612
DOXORUBICIN	LAPATINIB	A427	-4.1668714701
DOXORUBICIN	MK-2206	A427	10.8192428756
DOXORUBICIN	MK-4827	A427	-9.9083731202
DOXORUBICIN	MK-5108	A427	-18.570380996500003
DOXORUBICIN	MK-8669	A427	11.255856839100002
DOXORUBICIN	MK-8776	A427	-1.662979573
DOXORUBICIN	PD325901	A427	7.3081421945
DOXORUBICIN	SORAFENIB	A427	-4.1345058986000005
DOXORUBICIN	SUNITINIB	A427	0.299031611
DOXORUBICIN	TEMOZOLOMIDE	A427	2.4989580552
DOXORUBICIN	ZOLINZA	A427	-11.1128012421
ERLOTINIB	ABT-888	A427	-1.9265033049
ERLOTINIB	BEZ-235	A427	24.8204638666
ERLOTINIB	BORTEZOMIB	A427	-15.6541016546
ERLOTINIB	DASATINIB	A427	67.0285235925
ERLOTINIB	DINACICLIB	A427	-3.5487625894
ERLOTINIB	GELDANAMYCIN	A427	-3.7595995483
ERLOTINIB	MK-8669	A427	32.5027113785
ERLOTINIB	MK-8776	A427	14.760476211
ERLOTINIB	OXALIPLATIN	A427	-20.6916613521
ERLOTINIB	PD325901	A427	0.256406332
ERLOTINIB	SN-38	A427	3.6075318723
ERLOTINIB	SORAFENIB	A427	10.4341015327
ERLOTINIB	TOPOTECAN	A427	26.2734919934
ETOPOSIDE	ABT-888	A427	-13.9933044294
ETOPOSIDE	AZD1775	A427	-5.013824614
ETOPOSIDE	BEZ-235	A427	9.1946458861
ETOPOSIDE	BORTEZOMIB	A427	-14.0795026892
ETOPOSIDE	DASATINIB	A427	29.6007759244
ETOPOSIDE	DINACICLIB	A427	-6.175862283200001
ETOPOSIDE	ERLOTINIB	A427	9.9074658077
ETOPOSIDE	GELDANAMYCIN	A427	5.4890524962
ETOPOSIDE	LAPATINIB	A427	-14.4071478393
ETOPOSIDE	MK-2206	A427	24.892298400900003
ETOPOSIDE	MK-4827	A427	-7.5187076909
ETOPOSIDE	MK-5108	A427	-1.4643789935
ETOPOSIDE	MK-8669	A427	3.027931597
ETOPOSIDE	MK-8776	A427	0.5485767386
ETOPOSIDE	PD325901	A427	10.5063584526
ETOPOSIDE	SORAFENIB	A427	2.1840619368
ETOPOSIDE	SUNITINIB	A427	9.5897829983
ETOPOSIDE	TEMOZOLOMIDE	A427	6.6758841992
ETOPOSIDE	ZOLINZA	A427	-18.8443561906
GELDANAMYCIN	BEZ-235	A427	16.8220879195
GELDANAMYCIN	DINACICLIB	A427	3.1829536222000003
GELDANAMYCIN	MK-8776	A427	23.0375795535
GELDANAMYCIN	OXALIPLATIN	A427	2.3741710435
GELDANAMYCIN	SN-38	A427	12.3211190989
GELDANAMYCIN	SORAFENIB	A427	4.6669166134
GELDANAMYCIN	TOPOTECAN	A427	21.6518652461
GEMCITABINE	ABT-888	A427	1.8767545868
GEMCITABINE	AZD1775	A427	4.03092559365
GEMCITABINE	BEZ-235	A427	16.817180270599998
GEMCITABINE	BORTEZOMIB	A427	-4.3452765296
GEMCITABINE	DASATINIB	A427	24.839903286
GEMCITABINE	DINACICLIB	A427	-10.1899663421
GEMCITABINE	ERLOTINIB	A427	6.665375205599999
GEMCITABINE	GELDANAMYCIN	A427	7.4709856297
GEMCITABINE	LAPATINIB	A427	-0.5002545096000001
GEMCITABINE	MK-2206	A427	13.6948573
GEMCITABINE	MK-4827	A427	-3.1006066135
GEMCITABINE	MK-5108	A427	-3.2228263579000003
GEMCITABINE	MK-8669	A427	8.3565683531
GEMCITABINE	MK-8776	A427	47.8569197881
GEMCITABINE	PD325901	A427	17.9647359535
GEMCITABINE	SORAFENIB	A427	-2.7283163127
GEMCITABINE	SUNITINIB	A427	0.7889416965999999
GEMCITABINE	TEMOZOLOMIDE	A427	4.0822381355
L778123	ABT-888	A427	13.130361541
L778123	AZD1775	A427	-4.459675225550002
L778123	BEZ-235	A427	34.3008476041
L778123	BORTEZOMIB	A427	5.0199434953
L778123	DASATINIB	A427	46.5029348878
L778123	DINACICLIB	A427	9.6634668625
L778123	ERLOTINIB	A427	12.8097564331
L778123	ETOPOSIDE	A427	-1.8164957321
L778123	GELDANAMYCIN	A427	30.8375720377
L778123	GEMCITABINE	A427	1.3854475186
L778123	LAPATINIB	A427	7.6266694518
L778123	MK-2206	A427	33.542847325
L778123	MK-4827	A427	13.3122723797
L778123	MK-5108	A427	31.116623413600003
L778123	MK-8669	A427	34.65111262805
L778123	MK-8776	A427	10.8973495093
L778123	OXALIPLATIN	A427	3.1421118296
L778123	PD325901	A427	23.7544085977
L778123	SN-38	A427	24.0220723421
L778123	SORAFENIB	A427	11.4219116643
L778123	SUNITINIB	A427	18.3702477307
L778123	TEMOZOLOMIDE	A427	24.7978424665
L778123	TOPOTECAN	A427	23.6643428671
L778123	VINORELBINE	A427	7.471599265499999
L778123	ZOLINZA	A427	-32.7083673408
LAPATINIB	ABT-888	A427	-26.0032378846
LAPATINIB	BEZ-235	A427	15.443555108
LAPATINIB	BORTEZOMIB	A427	-22.9263192996
LAPATINIB	DASATINIB	A427	23.0666145972
LAPATINIB	DINACICLIB	A427	-10.5860053702
LAPATINIB	ERLOTINIB	A427	-19.724978721
LAPATINIB	GELDANAMYCIN	A427	-3.1801240245
LAPATINIB	MK-2206	A427	-2.2643487670000013
LAPATINIB	MK-4827	A427	-10.0233806007
LAPATINIB	MK-5108	A427	-16.340349365599998
LAPATINIB	MK-8669	A427	-11.109615799
LAPATINIB	MK-8776	A427	-9.156674153
LAPATINIB	OXALIPLATIN	A427	-24.0697234145
LAPATINIB	PD325901	A427	11.3511995955
LAPATINIB	SN-38	A427	-12.7966105998
LAPATINIB	SORAFENIB	A427	9.3271338142
LAPATINIB	TOPOTECAN	A427	2.6517033381
METFORMIN	ABT-888	A427	-11.719116431199998
METFORMIN	AZD1775	A427	4.8782248959
METFORMIN	BEZ-235	A427	10.578200389
METFORMIN	BORTEZOMIB	A427	-16.5314470464
METFORMIN	DASATINIB	A427	25.8835472217
METFORMIN	DINACICLIB	A427	7.464712874299999
METFORMIN	ERLOTINIB	A427	-2.0616493241
METFORMIN	GELDANAMYCIN	A427	1.4855958417
METFORMIN	L778123	A427	6.3003709838
METFORMIN	LAPATINIB	A427	-13.5740882316
METFORMIN	MK-2206	A427	1.4697923888
METFORMIN	MK-4827	A427	-3.7257878831
METFORMIN	MK-5108	A427	-3.7891733508
METFORMIN	MK-8669	A427	10.9247359977
METFORMIN	MK-8776	A427	-9.7579761016
METFORMIN	PD325901	A427	-4.9979917910000005
METFORMIN	SORAFENIB	A427	7.4736850913
METFORMIN	SUNITINIB	A427	8.0655509597
METFORMIN	TEMOZOLOMIDE	A427	-5.5604743222
METFORMIN	ZOLINZA	A427	-17.1473976872
METHOTREXATE	ABT-888	A427	9.5149302041
METHOTREXATE	AZD1775	A427	-10.2741062969
METHOTREXATE	BEZ-235	A427	-8.9495405536
METHOTREXATE	BORTEZOMIB	A427	-8.3363893261
METHOTREXATE	DASATINIB	A427	6.637118174099999
METHOTREXATE	DINACICLIB	A427	-3.4514169415
METHOTREXATE	ERLOTINIB	A427	13.4862187225
METHOTREXATE	GELDANAMYCIN	A427	-11.1657282113
METHOTREXATE	L778123	A427	10.772329697
METHOTREXATE	LAPATINIB	A427	7.1652064359
METHOTREXATE	MK-2206	A427	20.7989077504
METHOTREXATE	MK-4827	A427	16.4774496152
METHOTREXATE	MK-5108	A427	0.0758026530999999
METHOTREXATE	MK-8669	A427	21.9632340635
METHOTREXATE	MK-8776	A427	2.7724770643000003
METHOTREXATE	PD325901	A427	11.4858557996
METHOTREXATE	SORAFENIB	A427	-6.1663664636
METHOTREXATE	SUNITINIB	A427	-11.1778768279
METHOTREXATE	TEMOZOLOMIDE	A427	-12.8981197193
METHOTREXATE	ZOLINZA	A427	-6.523882613
MITOMYCINE	ABT-888	A427	-2.5024052621
MITOMYCINE	AZD1775	A427	7.5460151193
MITOMYCINE	BEZ-235	A427	25.5181781671
MITOMYCINE	BORTEZOMIB	A427	-10.3293146334
MITOMYCINE	DASATINIB	A427	48.6458209544
MITOMYCINE	DINACICLIB	A427	4.6281862062
MITOMYCINE	ERLOTINIB	A427	-37.3487317031
MITOMYCINE	GELDANAMYCIN	A427	4.7771536969
MITOMYCINE	L778123	A427	-3.6435932269
MITOMYCINE	LAPATINIB	A427	-5.4036800466
MITOMYCINE	MK-2206	A427	19.8543013455
MITOMYCINE	MK-4827	A427	5.951634527
MITOMYCINE	MK-5108	A427	-1.0800573872
MITOMYCINE	MK-8669	A427	23.7780583375
MITOMYCINE	MK-8776	A427	21.1563336262
MITOMYCINE	PD325901	A427	9.1648839608
MITOMYCINE	SORAFENIB	A427	-4.3733925161
MITOMYCINE	SUNITINIB	A427	5.9635994832
MITOMYCINE	TEMOZOLOMIDE	A427	6.3604739389
MITOMYCINE	ZOLINZA	A427	-4.79932772
MK-2206	ABT-888	A427	3.9748620642
MK-2206	BEZ-235	A427	56.3844843322
MK-2206	BORTEZOMIB	A427	-0.9420626238
MK-2206	DASATINIB	A427	32.0398624787
MK-2206	DINACICLIB	A427	7.659842970800001
MK-2206	ERLOTINIB	A427	8.31257130675
MK-2206	GELDANAMYCIN	A427	13.6751654127
MK-2206	MK-8669	A427	47.4316163482
MK-2206	MK-8776	A427	5.4430723507000005
MK-2206	OXALIPLATIN	A427	-17.7935170381
MK-2206	PD325901	A427	43.3941411813
MK-2206	SN-38	A427	12.9485331865
MK-2206	SORAFENIB	A427	25.3849631386
MK-2206	TOPOTECAN	A427	31.937152436
MK-4541	5-FU	A427	10.5736604719
MK-4541	ABT-888	A427	7.3815316653
MK-4541	AZD1775	A427	18.0233806715
MK-4541	BEZ-235	A427	23.1419798844
MK-4541	BORTEZOMIB	A427	18.2257515027
MK-4541	CARBOPLATIN	A427	15.6192562677
MK-4541	CYCLOPHOSPHAMIDE	A427	1.8241177834
MK-4541	DASATINIB	A427	26.4501737419
MK-4541	DEXAMETHASONE	A427	9.2692831261
MK-4541	DINACICLIB	A427	10.3793791678
MK-4541	DOXORUBICIN	A427	7.2777893007
MK-4541	ERLOTINIB	A427	8.0142836914
MK-4541	ETOPOSIDE	A427	-7.0045040408000006
MK-4541	GELDANAMYCIN	A427	9.5952328855
MK-4541	GEMCITABINE	A427	0.4767429424
MK-4541	L778123	A427	22.9152383921
MK-4541	LAPATINIB	A427	-29.1438004506
MK-4541	METFORMIN	A427	-10.795754914100002
MK-4541	METHOTREXATE	A427	21.4746084216
MK-4541	MITOMYCINE	A427	-3.4085717153
MK-4541	MK-2206	A427	-8.1170149067
MK-4541	MK-4827	A427	-8.6358315752
MK-4541	MK-5108	A427	-1.0294233288
MK-4541	MK-8669	A427	42.7371274312
MK-4541	MK-8776	A427	-12.9226423328
MK-4541	MRK-003	A427	20.7594932816
MK-4541	OXALIPLATIN	A427	0.8733035817
MK-4541	PACLITAXEL	A427	-1.1384471318
MK-4541	PD325901	A427	12.325524975
MK-4541	SN-38	A427	3.4036027905
MK-4541	SORAFENIB	A427	8.2703809414
MK-4541	SUNITINIB	A427	6.133953325299999
MK-4541	TEMOZOLOMIDE	A427	-4.372360538
MK-4541	TOPOTECAN	A427	14.689473089200002
MK-4541	VINBLASTINE	A427	-35.0045048567
MK-4541	VINORELBINE	A427	-30.874604592
MK-4541	ZOLINZA	A427	-16.5289725077
MK-4827	ABT-888	A427	-9.7214488984
MK-4827	BEZ-235	A427	16.191117517000002
MK-4827	BORTEZOMIB	A427	-8.6399533639
MK-4827	DASATINIB	A427	20.3377484185
MK-4827	DINACICLIB	A427	-5.512367031699999
MK-4827	ERLOTINIB	A427	-8.6758673114
MK-4827	GELDANAMYCIN	A427	3.5153673951
MK-4827	MK-2206	A427	27.4896247443
MK-4827	MK-8669	A427	33.201222101
MK-4827	MK-8776	A427	-4.50318620865
MK-4827	OXALIPLATIN	A427	-12.0845421755
MK-4827	PD325901	A427	-10.8452071769
MK-4827	SN-38	A427	15.5562826039
MK-4827	SORAFENIB	A427	9.4117247043
MK-4827	TOPOTECAN	A427	8.899885683099999
MK-5108	ABT-888	A427	4.4094724602
MK-5108	BEZ-235	A427	11.969405017
MK-5108	BORTEZOMIB	A427	-9.3639481901
MK-5108	DASATINIB	A427	43.5085694692
MK-5108	DINACICLIB	A427	-5.5351725968
MK-5108	ERLOTINIB	A427	7.9530182945
MK-5108	GELDANAMYCIN	A427	18.4675788639
MK-5108	MK-2206	A427	9.2716838275
MK-5108	MK-4827	A427	19.677904581
MK-5108	MK-8669	A427	20.5750086483
MK-5108	MK-8776	A427	6.89479977
MK-5108	OXALIPLATIN	A427	-3.5094017297000004
MK-5108	PD325901	A427	14.7563856203
MK-5108	SN-38	A427	-5.384330356
MK-5108	SORAFENIB	A427	6.2207445
MK-5108	TOPOTECAN	A427	-18.6384645752
MK-8669	BEZ-235	A427	60.8070006736
MK-8669	DINACICLIB	A427	17.081784271300002
MK-8669	GELDANAMYCIN	A427	23.3517752462
MK-8669	MK-8776	A427	31.2710519802
MK-8669	OXALIPLATIN	A427	9.9040984943
MK-8669	SN-38	A427	17.3767108678
MK-8669	SORAFENIB	A427	14.8855706903
MK-8669	TOPOTECAN	A427	25.6532716793
MRK-003	5-FU	A427	4.4664353839
MRK-003	ABT-888	A427	3.8440569087
MRK-003	AZD1775	A427	-0.5904866043
MRK-003	BEZ-235	A427	32.2347205087
MRK-003	BORTEZOMIB	A427	-5.642082959
MRK-003	CARBOPLATIN	A427	8.799907473200001
MRK-003	CYCLOPHOSPHAMIDE	A427	5.3450083048
MRK-003	DASATINIB	A427	47.88024928310001
MRK-003	DEXAMETHASONE	A427	4.6034360198
MRK-003	DINACICLIB	A427	-8.2286895168
MRK-003	DOXORUBICIN	A427	-7.0938028559
MRK-003	ERLOTINIB	A427	6.9333635662
MRK-003	ETOPOSIDE	A427	-5.556151473
MRK-003	GELDANAMYCIN	A427	2.7750775045
MRK-003	GEMCITABINE	A427	-1.9610672679
MRK-003	L778123	A427	16.751403736
MRK-003	LAPATINIB	A427	18.1776996091
MRK-003	METFORMIN	A427	10.2885895301
MRK-003	METHOTREXATE	A427	-9.9184569797
MRK-003	MITOMYCINE	A427	-0.461918765
MRK-003	MK-2206	A427	28.1847483327
MRK-003	MK-4827	A427	23.2217509612
MRK-003	MK-5108	A427	0.8784223017
MRK-003	MK-8669	A427	19.1576975637
MRK-003	MK-8776	A427	15.5622464427
MRK-003	OXALIPLATIN	A427	-7.1452181493
MRK-003	PACLITAXEL	A427	12.550934451199998
MRK-003	PD325901	A427	22.6598661454
MRK-003	SN-38	A427	-3.76565118
MRK-003	SORAFENIB	A427	10.3496918952
MRK-003	SUNITINIB	A427	14.939596657150002
MRK-003	TEMOZOLOMIDE	A427	29.3562652524
MRK-003	TOPOTECAN	A427	7.184098140900001
MRK-003	VINBLASTINE	A427	12.4524580713
MRK-003	VINORELBINE	A427	-10.0355118716
MRK-003	ZOLINZA	A427	-26.1766223019
OXALIPLATIN	DINACICLIB	A427	-10.2112928801
OXALIPLATIN	MK-8776	A427	1.5780154866999998
OXALIPLATIN	SORAFENIB	A427	5.2487513221
PACLITAXEL	ABT-888	A427	3.0101730324
PACLITAXEL	AZD1775	A427	-4.2868544917
PACLITAXEL	BEZ-235	A427	4.9118870975
PACLITAXEL	BORTEZOMIB	A427	-16.962811680399998
PACLITAXEL	DASATINIB	A427	34.8923172952
PACLITAXEL	DINACICLIB	A427	4.8641796707
PACLITAXEL	ERLOTINIB	A427	1.2270289925
PACLITAXEL	GELDANAMYCIN	A427	0.0824157589
PACLITAXEL	L778123	A427	25.3728633895
PACLITAXEL	LAPATINIB	A427	-7.5614613911
PACLITAXEL	MK-2206	A427	20.8169675004
PACLITAXEL	MK-4827	A427	-6.755637080900001
PACLITAXEL	MK-5108	A427	22.8029428351
PACLITAXEL	MK-8669	A427	23.4699421222
PACLITAXEL	MK-8776	A427	4.0134682732
PACLITAXEL	PD325901	A427	26.4056821238
PACLITAXEL	SORAFENIB	A427	6.6924580626
PACLITAXEL	SUNITINIB	A427	7.0974636403
PACLITAXEL	TEMOZOLOMIDE	A427	14.5679777268
PACLITAXEL	ZOLINZA	A427	-25.2994754837
PD325901	ABT-888	A427	-2.1055449867
PD325901	BEZ-235	A427	56.2979443611
PD325901	BORTEZOMIB	A427	3.165132593
PD325901	DASATINIB	A427	50.60409502939999
PD325901	DINACICLIB	A427	11.4773430701
PD325901	GELDANAMYCIN	A427	13.7253757709
PD325901	MK-8669	A427	15.3376749562
PD325901	MK-8776	A427	22.9219546517
PD325901	OXALIPLATIN	A427	-12.0870751743
PD325901	SN-38	A427	-0.6795947481
PD325901	SORAFENIB	A427	17.787461196600002
PD325901	TOPOTECAN	A427	30.540301007800004
SN-38	DINACICLIB	A427	-8.0930656349
SN-38	MK-8776	A427	0.3621223806
SN-38	SORAFENIB	A427	2.5075887011
SORAFENIB	DINACICLIB	A427	2.6356561477
SORAFENIB	MK-8776	A427	18.403964366
SUNITINIB	ABT-888	A427	12.0689481031
SUNITINIB	AZD1775	A427	-0.2207166127
SUNITINIB	BEZ-235	A427	31.4776746662
SUNITINIB	BORTEZOMIB	A427	-3.7043466943
SUNITINIB	DASATINIB	A427	30.7554892349
SUNITINIB	DINACICLIB	A427	2.1331304173
SUNITINIB	ERLOTINIB	A427	9.3464736423
SUNITINIB	GELDANAMYCIN	A427	5.2933794364
SUNITINIB	LAPATINIB	A427	8.990578987200001
SUNITINIB	MK-2206	A427	15.5674372028
SUNITINIB	MK-4827	A427	6.861472441599999
SUNITINIB	MK-5108	A427	6.192806000599999
SUNITINIB	MK-8669	A427	24.1223319917
SUNITINIB	MK-8776	A427	17.5090921255
SUNITINIB	OXALIPLATIN	A427	0.164355265
SUNITINIB	PD325901	A427	20.1454468882
SUNITINIB	SN-38	A427	-0.4973874238
SUNITINIB	SORAFENIB	A427	3.5856847387
SUNITINIB	TEMOZOLOMIDE	A427	26.7037249465
SUNITINIB	TOPOTECAN	A427	12.7411235758
TEMOZOLOMIDE	ABT-888	A427	29.9477946023
TEMOZOLOMIDE	AZD1775	A427	49.380109301800005
TEMOZOLOMIDE	BEZ-235	A427	51.584493594
TEMOZOLOMIDE	BORTEZOMIB	A427	-6.8704730811
TEMOZOLOMIDE	DASATINIB	A427	75.3905403425
TEMOZOLOMIDE	DINACICLIB	A427	14.517947516
TEMOZOLOMIDE	ERLOTINIB	A427	33.2256381245
TEMOZOLOMIDE	GELDANAMYCIN	A427	34.0866924767
TEMOZOLOMIDE	LAPATINIB	A427	-4.0055229148
TEMOZOLOMIDE	MK-2206	A427	30.4535238552
TEMOZOLOMIDE	MK-4827	A427	45.5824430364
TEMOZOLOMIDE	MK-5108	A427	30.887201817
TEMOZOLOMIDE	MK-8669	A427	38.8998530334
TEMOZOLOMIDE	MK-8776	A427	91.0608137969
TEMOZOLOMIDE	OXALIPLATIN	A427	-0.5931115101
TEMOZOLOMIDE	PD325901	A427	43.1925711501
TEMOZOLOMIDE	SN-38	A427	6.072544559600001
TEMOZOLOMIDE	SORAFENIB	A427	22.6806856411
TEMOZOLOMIDE	TOPOTECAN	A427	10.8972615445
TOPOTECAN	BEZ-235	A427	37.8646467742
TOPOTECAN	DINACICLIB	A427	5.3303809163
TOPOTECAN	MK-8776	A427	28.9550997931
TOPOTECAN	SORAFENIB	A427	7.691549703200001
VINBLASTINE	ABT-888	A427	-32.1703425674
VINBLASTINE	AZD1775	A427	-13.2869012653
VINBLASTINE	BEZ-235	A427	12.2933601072
VINBLASTINE	BORTEZOMIB	A427	-12.9115045157
VINBLASTINE	DASATINIB	A427	15.637836053
VINBLASTINE	DINACICLIB	A427	-16.6287541081
VINBLASTINE	ERLOTINIB	A427	26.870591825300004
VINBLASTINE	GELDANAMYCIN	A427	-12.0073892657
VINBLASTINE	L778123	A427	46.0676658351
VINBLASTINE	LAPATINIB	A427	-34.8937391992
VINBLASTINE	MK-2206	A427	-31.0944720797
VINBLASTINE	MK-4827	A427	-12.0634451057
VINBLASTINE	MK-5108	A427	0.01478206
VINBLASTINE	MK-8669	A427	-5.5692420872
VINBLASTINE	MK-8776	A427	-22.1502676559
VINBLASTINE	PD325901	A427	3.8901971937
VINBLASTINE	SORAFENIB	A427	10.9539939626
VINBLASTINE	SUNITINIB	A427	4.1168845334
VINBLASTINE	TEMOZOLOMIDE	A427	-35.192155345
VINBLASTINE	ZOLINZA	A427	-35.8203169521
VINORELBINE	ABT-888	A427	-15.8284241588
VINORELBINE	AZD1775	A427	-5.4366236764
VINORELBINE	BEZ-235	A427	5.1483075392
VINORELBINE	BORTEZOMIB	A427	-23.9329980032
VINORELBINE	DASATINIB	A427	39.3716201845
VINORELBINE	DINACICLIB	A427	-4.4247991297
VINORELBINE	ERLOTINIB	A427	-6.930193354400001
VINORELBINE	GELDANAMYCIN	A427	-4.1577768128
VINORELBINE	LAPATINIB	A427	-30.6322122424
VINORELBINE	MK-2206	A427	-0.5896382409
VINORELBINE	MK-4827	A427	-20.3432162946
VINORELBINE	MK-5108	A427	-13.8316944329
VINORELBINE	MK-8669	A427	-8.304004557799999
VINORELBINE	MK-8776	A427	1.48046574
VINORELBINE	PD325901	A427	-1.5562992272
VINORELBINE	SORAFENIB	A427	9.6707721137
VINORELBINE	SUNITINIB	A427	10.4622202545
VINORELBINE	TEMOZOLOMIDE	A427	5.9969531582
VINORELBINE	ZOLINZA	A427	-29.4595048786
ZOLINZA	ABT-888	A427	-58.5232795344
ZOLINZA	AZD1775	A427	-15.3743591189
ZOLINZA	BEZ-235	A427	-38.2742109802
ZOLINZA	BORTEZOMIB	A427	-46.200674194
ZOLINZA	DASATINIB	A427	-3.6428088901
ZOLINZA	DINACICLIB	A427	-26.085966993000003
ZOLINZA	ERLOTINIB	A427	4.9926692636
ZOLINZA	GELDANAMYCIN	A427	-39.7813892123
ZOLINZA	GEMCITABINE	A427	-21.0593868945
ZOLINZA	LAPATINIB	A427	-48.0314193607
ZOLINZA	MK-2206	A427	-6.511281679800001
ZOLINZA	MK-4827	A427	-15.732787276199998
ZOLINZA	MK-5108	A427	-12.01522355
ZOLINZA	MK-8669	A427	16.4614911321
ZOLINZA	MK-8776	A427	-1.3694501584
ZOLINZA	OXALIPLATIN	A427	-5.4666951815
ZOLINZA	PD325901	A427	-54.42185185140001
ZOLINZA	SN-38	A427	-18.6029188206
ZOLINZA	SORAFENIB	A427	-8.0037644432
ZOLINZA	SUNITINIB	A427	-25.0698863885
