drugname1	drugname2	cell_line	bliss
CYCLOPHOSPHAMIDE	DINACICLIB	KPL1	3.13
CYCLOPHOSPHAMIDE	ERLOTINIB	KPL1	7.4675
CYCLOPHOSPHAMIDE	GELDANAMYCIN	KPL1	9.3725
CYCLOPHOSPHAMIDE	L778123	KPL1	-1.935
CYCLOPHOSPHAMIDE	LAPATINIB	KPL1	8.535
CYCLOPHOSPHAMIDE	MK-2206	KPL1	15.9475
CYCLOPHOSPHAMIDE	MK-4827	KPL1	10.1875
CYCLOPHOSPHAMIDE	MK-5108	KPL1	12.1425
CYCLOPHOSPHAMIDE	MK-8669	KPL1	20.325000000000003
CYCLOPHOSPHAMIDE	MK-8776	KPL1	-0.2675
CYCLOPHOSPHAMIDE	PD325901	KPL1	17.427500000000002
CYCLOPHOSPHAMIDE	SORAFENIB	KPL1	5.045
CYCLOPHOSPHAMIDE	SUNITINIB	KPL1	12.7625
CYCLOPHOSPHAMIDE	TEMOZOLOMIDE	KPL1	5.455
CYCLOPHOSPHAMIDE	ZOLINZA	KPL1	13.9875
DASATINIB	ABT-888	KPL1	2.125
DASATINIB	BEZ-235	KPL1	4.9675
DASATINIB	DINACICLIB	KPL1	5.22
DASATINIB	GELDANAMYCIN	KPL1	-0.285
DASATINIB	MK-8669	KPL1	8.145
DASATINIB	MK-8776	KPL1	6.1450000000000005
DASATINIB	OXALIPLATIN	KPL1	0.6325000000000001
DASATINIB	SN-38	KPL1	4.4775
DASATINIB	SORAFENIB	KPL1	0.05
DASATINIB	TOPOTECAN	KPL1	0.5775
DEXAMETHASONE	ABT-888	KPL1	0.3075
DEXAMETHASONE	AZD1775	KPL1	5.76
DEXAMETHASONE	BEZ-235	KPL1	3.615
DEXAMETHASONE	BORTEZOMIB	KPL1	-3.74
DEXAMETHASONE	DASATINIB	KPL1	10.41
DEXAMETHASONE	DINACICLIB	KPL1	-2.62
DEXAMETHASONE	ERLOTINIB	KPL1	-0.53
DEXAMETHASONE	GELDANAMYCIN	KPL1	-4.58
DEXAMETHASONE	L778123	KPL1	-0.6425000000000001
DEXAMETHASONE	LAPATINIB	KPL1	-2.335
DEXAMETHASONE	MK-2206	KPL1	6.25
DEXAMETHASONE	MK-4827	KPL1	-2.7925
DEXAMETHASONE	MK-5108	KPL1	2.8725
DEXAMETHASONE	MK-8669	KPL1	12.8875
DEXAMETHASONE	MK-8776	KPL1	2.9075
DEXAMETHASONE	PD325901	KPL1	-2.66
DEXAMETHASONE	SORAFENIB	KPL1	-1.36
DEXAMETHASONE	SUNITINIB	KPL1	5.19
DEXAMETHASONE	TEMOZOLOMIDE	KPL1	2.725
DEXAMETHASONE	ZOLINZA	KPL1	-5.175000000000001
DINACICLIB	MK-8776	KPL1	-3.34
DOXORUBICIN	ABT-888	KPL1	-7.0625
DOXORUBICIN	AZD1775	KPL1	-5.1575
DOXORUBICIN	BEZ-235	KPL1	-4.8725000000000005
DOXORUBICIN	BORTEZOMIB	KPL1	-6.6850000000000005
DOXORUBICIN	DASATINIB	KPL1	2.82
DOXORUBICIN	DINACICLIB	KPL1	-5.0025
DOXORUBICIN	ERLOTINIB	KPL1	-2.4325
DOXORUBICIN	GELDANAMYCIN	KPL1	-13.4475
DOXORUBICIN	L778123	KPL1	-16.497500000000002
DOXORUBICIN	LAPATINIB	KPL1	-1.7074999999999998
DOXORUBICIN	MK-2206	KPL1	-1.915
DOXORUBICIN	MK-4827	KPL1	-10.4075
DOXORUBICIN	MK-5108	KPL1	-15.2525
DOXORUBICIN	MK-8669	KPL1	1.85
DOXORUBICIN	MK-8776	KPL1	-14.455000000000002
DOXORUBICIN	PD325901	KPL1	-5.215
DOXORUBICIN	SORAFENIB	KPL1	-7.754999999999999
DOXORUBICIN	SUNITINIB	KPL1	-7.2975
DOXORUBICIN	TEMOZOLOMIDE	KPL1	-6.1000000000000005
DOXORUBICIN	ZOLINZA	KPL1	-8.175
ERLOTINIB	ABT-888	KPL1	-0.8975000000000001
ERLOTINIB	BEZ-235	KPL1	4.67
ERLOTINIB	BORTEZOMIB	KPL1	1.3525
ERLOTINIB	DASATINIB	KPL1	-1.465
ERLOTINIB	DINACICLIB	KPL1	2.305
ERLOTINIB	GELDANAMYCIN	KPL1	0.255
ERLOTINIB	MK-8669	KPL1	8.485000000000001
ERLOTINIB	MK-8776	KPL1	-2.92
ERLOTINIB	OXALIPLATIN	KPL1	1.715
ERLOTINIB	PD325901	KPL1	-2.4875
ERLOTINIB	SN-38	KPL1	4.4325
ERLOTINIB	SORAFENIB	KPL1	3.295
ERLOTINIB	TOPOTECAN	KPL1	5.109999999999999
ETOPOSIDE	ABT-888	KPL1	-0.405
ETOPOSIDE	AZD1775	KPL1	6.532500000000001
ETOPOSIDE	BEZ-235	KPL1	0.6475
ETOPOSIDE	BORTEZOMIB	KPL1	-2.1225
ETOPOSIDE	DASATINIB	KPL1	3.4725
ETOPOSIDE	DINACICLIB	KPL1	0.725
ETOPOSIDE	ERLOTINIB	KPL1	3.1625
ETOPOSIDE	GELDANAMYCIN	KPL1	-2.5225
ETOPOSIDE	LAPATINIB	KPL1	1.2475
ETOPOSIDE	MK-2206	KPL1	7.969999999999999
ETOPOSIDE	MK-4827	KPL1	-1.8275
ETOPOSIDE	MK-5108	KPL1	-5.66
ETOPOSIDE	MK-8669	KPL1	8.41
ETOPOSIDE	MK-8776	KPL1	0.5449999999999999
ETOPOSIDE	PD325901	KPL1	-0.4549999999999998
ETOPOSIDE	SORAFENIB	KPL1	0.8275
ETOPOSIDE	SUNITINIB	KPL1	3.3875
ETOPOSIDE	TEMOZOLOMIDE	KPL1	6.3675
ETOPOSIDE	ZOLINZA	KPL1	0.7100000000000003
GELDANAMYCIN	BEZ-235	KPL1	-5.607500000000001
GELDANAMYCIN	DINACICLIB	KPL1	-2.4975
GELDANAMYCIN	MK-8776	KPL1	-10.625
GELDANAMYCIN	OXALIPLATIN	KPL1	-1.42
GELDANAMYCIN	SN-38	KPL1	-4.2475
GELDANAMYCIN	SORAFENIB	KPL1	-7.085
GELDANAMYCIN	TOPOTECAN	KPL1	-4.465
GEMCITABINE	ABT-888	KPL1	-0.1125
GEMCITABINE	AZD1775	KPL1	-4.817500000000001
GEMCITABINE	BEZ-235	KPL1	-3.36
GEMCITABINE	BORTEZOMIB	KPL1	-9.155
GEMCITABINE	DASATINIB	KPL1	-0.4225
GEMCITABINE	DINACICLIB	KPL1	-4.32
GEMCITABINE	ERLOTINIB	KPL1	-0.0249999999999999
GEMCITABINE	GELDANAMYCIN	KPL1	-14.735
GEMCITABINE	LAPATINIB	KPL1	-3.0525
GEMCITABINE	MK-2206	KPL1	0.4225
GEMCITABINE	MK-4827	KPL1	-10.285
GEMCITABINE	MK-5108	KPL1	-11.1075
GEMCITABINE	MK-8669	KPL1	3.7975
GEMCITABINE	MK-8776	KPL1	-10.7975
GEMCITABINE	PD325901	KPL1	2.1375
GEMCITABINE	SORAFENIB	KPL1	-6.9025
GEMCITABINE	SUNITINIB	KPL1	-7.73
GEMCITABINE	TEMOZOLOMIDE	KPL1	-3.0274999999999994
L778123	ABT-888	KPL1	-3.4450000000000003
L778123	AZD1775	KPL1	-5.2325
L778123	BEZ-235	KPL1	-2.6275
L778123	BORTEZOMIB	KPL1	-6.9425
L778123	DASATINIB	KPL1	-3.3875
L778123	DINACICLIB	KPL1	-5.512499999999999
L778123	ERLOTINIB	KPL1	-3.71
L778123	ETOPOSIDE	KPL1	-9.47
L778123	GELDANAMYCIN	KPL1	-12.8525
L778123	GEMCITABINE	KPL1	-17.78
L778123	LAPATINIB	KPL1	-3.345
L778123	MK-2206	KPL1	2.2575000000000003
L778123	MK-4827	KPL1	-12.595
L778123	MK-5108	KPL1	-11.9975
L778123	MK-8669	KPL1	6.8675
L778123	MK-8776	KPL1	-14.322499999999998
L778123	OXALIPLATIN	KPL1	-7.93
L778123	PD325901	KPL1	-4.4275
L778123	SN-38	KPL1	-8.745000000000001
L778123	SORAFENIB	KPL1	-5.800000000000001
L778123	SUNITINIB	KPL1	-5.375
L778123	TEMOZOLOMIDE	KPL1	-8.45
L778123	TOPOTECAN	KPL1	-10.1725
L778123	VINORELBINE	KPL1	-11.1775
L778123	ZOLINZA	KPL1	-4.989999999999999
LAPATINIB	ABT-888	KPL1	2.3875
LAPATINIB	BEZ-235	KPL1	3.525
LAPATINIB	BORTEZOMIB	KPL1	2.5625
LAPATINIB	DASATINIB	KPL1	4.4575
LAPATINIB	DINACICLIB	KPL1	2.2350000000000003
LAPATINIB	ERLOTINIB	KPL1	-4.984999999999999
LAPATINIB	GELDANAMYCIN	KPL1	3.645
LAPATINIB	MK-2206	KPL1	7.83
LAPATINIB	MK-4827	KPL1	2.62
LAPATINIB	MK-5108	KPL1	-2.145
LAPATINIB	MK-8669	KPL1	6.567500000000001
LAPATINIB	MK-8776	KPL1	-2.1775
LAPATINIB	OXALIPLATIN	KPL1	0.4375
LAPATINIB	PD325901	KPL1	6.1225000000000005
LAPATINIB	SN-38	KPL1	3.3149999999999995
LAPATINIB	SORAFENIB	KPL1	3.6175
LAPATINIB	TOPOTECAN	KPL1	2.9125
METFORMIN	ABT-888	KPL1	-3.12
METFORMIN	AZD1775	KPL1	2.405
METFORMIN	BEZ-235	KPL1	3.1049999999999995
METFORMIN	BORTEZOMIB	KPL1	-9.305
METFORMIN	DASATINIB	KPL1	5.3375
METFORMIN	DINACICLIB	KPL1	-0.9175
METFORMIN	ERLOTINIB	KPL1	4.6975
METFORMIN	GELDANAMYCIN	KPL1	-1.6149999999999998
METFORMIN	L778123	KPL1	-6.3675
METFORMIN	LAPATINIB	KPL1	4.385
METFORMIN	MK-2206	KPL1	4.085000000000001
METFORMIN	MK-4827	KPL1	0.3175000000000001
METFORMIN	MK-5108	KPL1	-1.71
METFORMIN	MK-8669	KPL1	6.567500000000001
METFORMIN	MK-8776	KPL1	-4.035
METFORMIN	PD325901	KPL1	-4.944999999999999
METFORMIN	SORAFENIB	KPL1	0.2574999999999998
METFORMIN	SUNITINIB	KPL1	6.49
METFORMIN	TEMOZOLOMIDE	KPL1	1.8725
METFORMIN	ZOLINZA	KPL1	0.4075000000000001
METHOTREXATE	ABT-888	KPL1	-0.7400000000000002
METHOTREXATE	AZD1775	KPL1	-5.6625
METHOTREXATE	BEZ-235	KPL1	-8.525
METHOTREXATE	BORTEZOMIB	KPL1	-5.34
METHOTREXATE	DASATINIB	KPL1	-2.405
METHOTREXATE	DINACICLIB	KPL1	-3.4375
METHOTREXATE	ERLOTINIB	KPL1	1.69
METHOTREXATE	GELDANAMYCIN	KPL1	-14.107499999999998
METHOTREXATE	L778123	KPL1	-17.9575
METHOTREXATE	LAPATINIB	KPL1	-2.3
METHOTREXATE	MK-2206	KPL1	-7.0675
METHOTREXATE	MK-4827	KPL1	-10.0825
METHOTREXATE	MK-5108	KPL1	-12.3125
METHOTREXATE	MK-8669	KPL1	-1.2175
METHOTREXATE	MK-8776	KPL1	-10.77
METHOTREXATE	PD325901	KPL1	1.4525
METHOTREXATE	SORAFENIB	KPL1	-7.8975
METHOTREXATE	SUNITINIB	KPL1	-10.1625
METHOTREXATE	TEMOZOLOMIDE	KPL1	-3.4075
METHOTREXATE	ZOLINZA	KPL1	-11.2025
MITOMYCINE	ABT-888	KPL1	0.98
MITOMYCINE	AZD1775	KPL1	-3.0175
MITOMYCINE	BEZ-235	KPL1	0.3874999999999999
MITOMYCINE	BORTEZOMIB	KPL1	-4.57
MITOMYCINE	DASATINIB	KPL1	3.135
MITOMYCINE	DINACICLIB	KPL1	-2.0225
MITOMYCINE	ERLOTINIB	KPL1	-6.18
MITOMYCINE	GELDANAMYCIN	KPL1	-3.7875
MITOMYCINE	L778123	KPL1	-15.14
MITOMYCINE	LAPATINIB	KPL1	2.2325
MITOMYCINE	MK-2206	KPL1	4.727500000000001
MITOMYCINE	MK-4827	KPL1	-6.9325
MITOMYCINE	MK-5108	KPL1	-14.1675
MITOMYCINE	MK-8669	KPL1	8.62
MITOMYCINE	MK-8776	KPL1	-9.8475
MITOMYCINE	PD325901	KPL1	3.4875
MITOMYCINE	SORAFENIB	KPL1	-7.84
MITOMYCINE	SUNITINIB	KPL1	-0.2975
MITOMYCINE	TEMOZOLOMIDE	KPL1	-5.385
MITOMYCINE	ZOLINZA	KPL1	-6.0375
MK-2206	ABT-888	KPL1	8.195
MK-2206	BEZ-235	KPL1	3.635
MK-2206	BORTEZOMIB	KPL1	-1.4874999999999998
MK-2206	DASATINIB	KPL1	2.0675
MK-2206	DINACICLIB	KPL1	-0.2925
MK-2206	ERLOTINIB	KPL1	10.35
MK-2206	GELDANAMYCIN	KPL1	-6.4575000000000005
MK-2206	MK-8669	KPL1	13.2425
MK-2206	MK-8776	KPL1	-0.4075
MK-2206	OXALIPLATIN	KPL1	-8.705
MK-2206	PD325901	KPL1	10.2025
MK-2206	SN-38	KPL1	9.1375
MK-2206	SORAFENIB	KPL1	1.515
MK-2206	TOPOTECAN	KPL1	2.935
MK-4541	5-FU	KPL1	1.5475
MK-4541	ABT-888	KPL1	12.5325
MK-4541	AZD1775	KPL1	12.3175
MK-4541	BEZ-235	KPL1	5.31
MK-4541	BORTEZOMIB	KPL1	3.6875
MK-4541	CARBOPLATIN	KPL1	19.495
MK-4541	CYCLOPHOSPHAMIDE	KPL1	22.17
MK-4541	DASATINIB	KPL1	5.255
MK-4541	DEXAMETHASONE	KPL1	11.4225
MK-4541	DINACICLIB	KPL1	8.5325
MK-4541	DOXORUBICIN	KPL1	0.48
MK-4541	ERLOTINIB	KPL1	10.375
MK-4541	ETOPOSIDE	KPL1	11.1225
MK-4541	GELDANAMYCIN	KPL1	5.0825
MK-4541	GEMCITABINE	KPL1	4.3825
MK-4541	L778123	KPL1	-1.0775
MK-4541	LAPATINIB	KPL1	10.8825
MK-4541	METFORMIN	KPL1	5.095
MK-4541	METHOTREXATE	KPL1	-2.325
MK-4541	MITOMYCINE	KPL1	1.75
MK-4541	MK-2206	KPL1	10.435
MK-4541	MK-4827	KPL1	6.887499999999999
MK-4541	MK-5108	KPL1	3.43
MK-4541	MK-8669	KPL1	12.995
MK-4541	MK-8776	KPL1	2.9625
MK-4541	MRK-003	KPL1	-1.7474999999999996
MK-4541	OXALIPLATIN	KPL1	9.635
MK-4541	PACLITAXEL	KPL1	3.06
MK-4541	PD325901	KPL1	9.57
MK-4541	SN-38	KPL1	8.585
MK-4541	SORAFENIB	KPL1	2.8775
MK-4541	SUNITINIB	KPL1	10.9275
MK-4541	TEMOZOLOMIDE	KPL1	11.1325
MK-4541	TOPOTECAN	KPL1	9.2375
MK-4541	VINBLASTINE	KPL1	15.04
MK-4541	VINORELBINE	KPL1	1.5075
MK-4541	ZOLINZA	KPL1	6.5725
MK-4827	ABT-888	KPL1	-3.55
MK-4827	BEZ-235	KPL1	-1.5725000000000002
MK-4827	BORTEZOMIB	KPL1	-3.0450000000000004
MK-4827	DASATINIB	KPL1	1.0875
MK-4827	DINACICLIB	KPL1	-1.25
MK-4827	ERLOTINIB	KPL1	5.040000000000001
MK-4827	GELDANAMYCIN	KPL1	-5.865
MK-4827	MK-2206	KPL1	3.2975
MK-4827	MK-8669	KPL1	4.91
MK-4827	MK-8776	KPL1	-4.3275
MK-4827	OXALIPLATIN	KPL1	-1.2075000000000002
MK-4827	PD325901	KPL1	-2.5775
MK-4827	SN-38	KPL1	-1.0750000000000002
MK-4827	SORAFENIB	KPL1	-2.31
MK-4827	TOPOTECAN	KPL1	-6.65
MK-5108	ABT-888	KPL1	-0.0025
MK-5108	BEZ-235	KPL1	-1.1675
MK-5108	BORTEZOMIB	KPL1	-7.49
MK-5108	DASATINIB	KPL1	1.08
MK-5108	DINACICLIB	KPL1	-2.69
MK-5108	ERLOTINIB	KPL1	3.54
MK-5108	GELDANAMYCIN	KPL1	-7.96
MK-5108	MK-2206	KPL1	1.565
MK-5108	MK-4827	KPL1	-8.625
MK-5108	MK-8669	KPL1	3.545
MK-5108	MK-8776	KPL1	-12.3775
MK-5108	OXALIPLATIN	KPL1	-4.7725
MK-5108	PD325901	KPL1	-3.2925
MK-5108	SN-38	KPL1	-7.83
MK-5108	SORAFENIB	KPL1	-2.17
MK-5108	TOPOTECAN	KPL1	-8.72
MK-8669	BEZ-235	KPL1	11.175
MK-8669	DINACICLIB	KPL1	5.785
MK-8669	GELDANAMYCIN	KPL1	5.315
MK-8669	MK-8776	KPL1	0.1399999999999999
MK-8669	OXALIPLATIN	KPL1	3.1125
MK-8669	SN-38	KPL1	7.2475
MK-8669	SORAFENIB	KPL1	-0.6375
MK-8669	TOPOTECAN	KPL1	8.205
MRK-003	5-FU	KPL1	-5.66
MRK-003	ABT-888	KPL1	7.705
MRK-003	AZD1775	KPL1	-2.7125
MRK-003	BEZ-235	KPL1	0.54
MRK-003	BORTEZOMIB	KPL1	-0.3774999999999999
MRK-003	CARBOPLATIN	KPL1	5.984999999999999
MRK-003	CYCLOPHOSPHAMIDE	KPL1	6.234999999999999
MRK-003	DASATINIB	KPL1	10.8425
MRK-003	DEXAMETHASONE	KPL1	4.952500000000001
MRK-003	DINACICLIB	KPL1	-2.595
MRK-003	DOXORUBICIN	KPL1	-8.495
MRK-003	ERLOTINIB	KPL1	6.925
MRK-003	ETOPOSIDE	KPL1	3.43
MRK-003	GELDANAMYCIN	KPL1	-2.6225
MRK-003	GEMCITABINE	KPL1	-5.2525
MRK-003	L778123	KPL1	-7.6
MRK-003	LAPATINIB	KPL1	7.33
MRK-003	METFORMIN	KPL1	2.33
MRK-003	METHOTREXATE	KPL1	-3.955
MRK-003	MITOMYCINE	KPL1	-0.8475
MRK-003	MK-2206	KPL1	-4.2925
MRK-003	MK-4827	KPL1	-0.1924999999999999
MRK-003	MK-5108	KPL1	-5.0125
MRK-003	MK-8669	KPL1	1.7825
MRK-003	MK-8776	KPL1	-2.6025
MRK-003	OXALIPLATIN	KPL1	-1.0525000000000002
MRK-003	PACLITAXEL	KPL1	-5.2175
MRK-003	PD325901	KPL1	8.295
MRK-003	SN-38	KPL1	4.0225
MRK-003	SORAFENIB	KPL1	1.8725
MRK-003	SUNITINIB	KPL1	3.18
MRK-003	TEMOZOLOMIDE	KPL1	2.88
MRK-003	TOPOTECAN	KPL1	2.0175
MRK-003	VINBLASTINE	KPL1	11.64
MRK-003	VINORELBINE	KPL1	-3.185
MRK-003	ZOLINZA	KPL1	-3.8050000000000006
OXALIPLATIN	DINACICLIB	KPL1	3.995
OXALIPLATIN	MK-8776	KPL1	3.5125
OXALIPLATIN	SORAFENIB	KPL1	-2.245
PACLITAXEL	ABT-888	KPL1	-2.6375
PACLITAXEL	AZD1775	KPL1	-4.825
PACLITAXEL	BEZ-235	KPL1	-4.5325
PACLITAXEL	BORTEZOMIB	KPL1	-9.06
PACLITAXEL	DASATINIB	KPL1	-1.1225
PACLITAXEL	DINACICLIB	KPL1	-2.5325
PACLITAXEL	ERLOTINIB	KPL1	-1.8525
PACLITAXEL	GELDANAMYCIN	KPL1	-12.28
PACLITAXEL	L778123	KPL1	-14.905
PACLITAXEL	LAPATINIB	KPL1	-4.07
PACLITAXEL	MK-2206	KPL1	-1.3675
PACLITAXEL	MK-4827	KPL1	-15.355
PACLITAXEL	MK-5108	KPL1	-11.64
PACLITAXEL	MK-8669	KPL1	-0.435
PACLITAXEL	MK-8776	KPL1	-12.3725
PACLITAXEL	PD325901	KPL1	-1.3475
PACLITAXEL	SORAFENIB	KPL1	-6.795
PACLITAXEL	SUNITINIB	KPL1	-4.5175
PACLITAXEL	TEMOZOLOMIDE	KPL1	0.4074999999999997
PACLITAXEL	ZOLINZA	KPL1	-4.0125
PD325901	ABT-888	KPL1	2.5825000000000005
PD325901	BEZ-235	KPL1	9.13
PD325901	BORTEZOMIB	KPL1	1.005
PD325901	DASATINIB	KPL1	-3.415
PD325901	DINACICLIB	KPL1	3.185
PD325901	GELDANAMYCIN	KPL1	0.6325000000000001
PD325901	MK-8669	KPL1	7.529999999999999
PD325901	MK-8776	KPL1	-3.405
PD325901	OXALIPLATIN	KPL1	2.9125
PD325901	SN-38	KPL1	3.8275
PD325901	SORAFENIB	KPL1	5.9575
PD325901	TOPOTECAN	KPL1	3.4125
SN-38	DINACICLIB	KPL1	-2.0125
SN-38	MK-8776	KPL1	-5.484999999999999
SN-38	SORAFENIB	KPL1	0.75
SORAFENIB	DINACICLIB	KPL1	-7.627499999999999
SORAFENIB	MK-8776	KPL1	-8.72
SUNITINIB	ABT-888	KPL1	6.07
SUNITINIB	AZD1775	KPL1	0.8200000000000002
SUNITINIB	BEZ-235	KPL1	2.4275
SUNITINIB	BORTEZOMIB	KPL1	0.2100000000000002
SUNITINIB	DASATINIB	KPL1	5.69
SUNITINIB	DINACICLIB	KPL1	-1.2924999999999998
SUNITINIB	ERLOTINIB	KPL1	4.48
SUNITINIB	GELDANAMYCIN	KPL1	-9.105
SUNITINIB	LAPATINIB	KPL1	8.77
SUNITINIB	MK-2206	KPL1	5.525
SUNITINIB	MK-4827	KPL1	-0.745
SUNITINIB	MK-5108	KPL1	-2.71
SUNITINIB	MK-8669	KPL1	7.607499999999999
SUNITINIB	MK-8776	KPL1	-2.4975
SUNITINIB	OXALIPLATIN	KPL1	-1.2475
SUNITINIB	PD325901	KPL1	3.5
SUNITINIB	SN-38	KPL1	6.355
SUNITINIB	SORAFENIB	KPL1	-7.2575
SUNITINIB	TEMOZOLOMIDE	KPL1	7.445
SUNITINIB	TOPOTECAN	KPL1	-0.1099999999999999
TEMOZOLOMIDE	ABT-888	KPL1	6.66
TEMOZOLOMIDE	AZD1775	KPL1	8.9875
TEMOZOLOMIDE	BEZ-235	KPL1	5.5575
TEMOZOLOMIDE	BORTEZOMIB	KPL1	-1.64
TEMOZOLOMIDE	DASATINIB	KPL1	4.605
TEMOZOLOMIDE	DINACICLIB	KPL1	4.935
TEMOZOLOMIDE	ERLOTINIB	KPL1	8.317499999999999
TEMOZOLOMIDE	GELDANAMYCIN	KPL1	-3.1975
TEMOZOLOMIDE	LAPATINIB	KPL1	5.41
TEMOZOLOMIDE	MK-2206	KPL1	11.285
TEMOZOLOMIDE	MK-4827	KPL1	4.5
TEMOZOLOMIDE	MK-5108	KPL1	-5.265000000000001
TEMOZOLOMIDE	MK-8669	KPL1	22.082500000000003
TEMOZOLOMIDE	MK-8776	KPL1	-0.7550000000000003
TEMOZOLOMIDE	OXALIPLATIN	KPL1	7.505000000000001
TEMOZOLOMIDE	PD325901	KPL1	0.4399999999999999
TEMOZOLOMIDE	SN-38	KPL1	0.7375000000000002
TEMOZOLOMIDE	SORAFENIB	KPL1	4.61
TEMOZOLOMIDE	TOPOTECAN	KPL1	1.8325
TOPOTECAN	BEZ-235	KPL1	1.585
TOPOTECAN	DINACICLIB	KPL1	0.6499999999999999
TOPOTECAN	MK-8776	KPL1	-4.255
TOPOTECAN	SORAFENIB	KPL1	-3.045
VINBLASTINE	ABT-888	KPL1	1.4475000000000002
VINBLASTINE	AZD1775	KPL1	10.295
VINBLASTINE	BEZ-235	KPL1	5.045
VINBLASTINE	BORTEZOMIB	KPL1	3.87
VINBLASTINE	DASATINIB	KPL1	6.2875
VINBLASTINE	DINACICLIB	KPL1	4.4475
VINBLASTINE	ERLOTINIB	KPL1	14.455
VINBLASTINE	GELDANAMYCIN	KPL1	-3.9675
VINBLASTINE	L778123	KPL1	-1.8825
VINBLASTINE	LAPATINIB	KPL1	5.195
VINBLASTINE	MK-2206	KPL1	5.262499999999999
VINBLASTINE	MK-4827	KPL1	3.9675
VINBLASTINE	MK-5108	KPL1	6.495
VINBLASTINE	MK-8669	KPL1	14.94
VINBLASTINE	MK-8776	KPL1	0.97
VINBLASTINE	PD325901	KPL1	5.92
VINBLASTINE	SORAFENIB	KPL1	6.6625
VINBLASTINE	SUNITINIB	KPL1	6.5125
VINBLASTINE	TEMOZOLOMIDE	KPL1	5.6475
VINBLASTINE	ZOLINZA	KPL1	8.997499999999999
VINORELBINE	ABT-888	KPL1	-1.01
VINORELBINE	AZD1775	KPL1	-1.12
VINORELBINE	BEZ-235	KPL1	-0.7175
VINORELBINE	BORTEZOMIB	KPL1	-4.3675
VINORELBINE	DASATINIB	KPL1	1.1675000000000002
VINORELBINE	DINACICLIB	KPL1	-1.265
VINORELBINE	ERLOTINIB	KPL1	-2.52
VINORELBINE	GELDANAMYCIN	KPL1	-11.415
VINORELBINE	LAPATINIB	KPL1	-2.67
VINORELBINE	MK-2206	KPL1	0.905
VINORELBINE	MK-4827	KPL1	-13.265
VINORELBINE	MK-5108	KPL1	-9.545000000000002
VINORELBINE	MK-8669	KPL1	2.045
VINORELBINE	MK-8776	KPL1	-10.385
VINORELBINE	PD325901	KPL1	-1.9
VINORELBINE	SORAFENIB	KPL1	-4.085
VINORELBINE	SUNITINIB	KPL1	-2.4825000000000004
VINORELBINE	TEMOZOLOMIDE	KPL1	-2.64
VINORELBINE	ZOLINZA	KPL1	-4.84
ZOLINZA	ABT-888	KPL1	-2.5025
ZOLINZA	AZD1775	KPL1	0.0574999999999998
ZOLINZA	BEZ-235	KPL1	-1.6324999999999998
ZOLINZA	BORTEZOMIB	KPL1	0.0149999999999999
ZOLINZA	DASATINIB	KPL1	2.7
ZOLINZA	DINACICLIB	KPL1	-6.085000000000001
ZOLINZA	ERLOTINIB	KPL1	7.164999999999999
ZOLINZA	GELDANAMYCIN	KPL1	-6.155
ZOLINZA	GEMCITABINE	KPL1	-4.775
ZOLINZA	LAPATINIB	KPL1	2.155
ZOLINZA	MK-2206	KPL1	6.8625
ZOLINZA	MK-4827	KPL1	-7.0875
ZOLINZA	MK-5108	KPL1	-5.1525
ZOLINZA	MK-8669	KPL1	6.9675
ZOLINZA	MK-8776	KPL1	-8.28
ZOLINZA	OXALIPLATIN	KPL1	0.4125
ZOLINZA	PD325901	KPL1	-4.0625
ZOLINZA	SN-38	KPL1	-1.14
ZOLINZA	SORAFENIB	KPL1	-3.0275
ZOLINZA	SUNITINIB	KPL1	2.6325000000000003
ZOLINZA	TEMOZOLOMIDE	KPL1	2.5525
ZOLINZA	TOPOTECAN	KPL1	-3.395
5-FU	ABT-888	LNCAP	-6.68
5-FU	AZD1775	LNCAP	-3.6625
5-FU	BEZ-235	LNCAP	-0.6325000000000001
5-FU	BORTEZOMIB	LNCAP	1.02
5-FU	DASATINIB	LNCAP	-10.8625
5-FU	DINACICLIB	LNCAP	1.9400000000000004
5-FU	ERLOTINIB	LNCAP	-4.01
5-FU	GELDANAMYCIN	LNCAP	-0.8700000000000001
5-FU	L778123	LNCAP	-4.842500000000001
5-FU	LAPATINIB	LNCAP	-8.69
5-FU	MK-2206	LNCAP	-4.035
5-FU	MK-4827	LNCAP	-16.052500000000002
5-FU	MK-5108	LNCAP	-12.105
5-FU	MK-8669	LNCAP	-0.1174999999999999
5-FU	MK-8776	LNCAP	-3.855
5-FU	PD325901	LNCAP	-5.825
5-FU	SORAFENIB	LNCAP	-9.4475
5-FU	SUNITINIB	LNCAP	-7.640000000000001
5-FU	TEMOZOLOMIDE	LNCAP	-7.9325
5-FU	ZOLINZA	LNCAP	-3.2275
ABT-888	BEZ-235	LNCAP	7.8475
ABT-888	DINACICLIB	LNCAP	8.2925
ABT-888	GELDANAMYCIN	LNCAP	2.5200000000000005
ABT-888	MK-8669	LNCAP	-3.815
ABT-888	MK-8776	LNCAP	-28.4875
ABT-888	OXALIPLATIN	LNCAP	-13.8575
ABT-888	SN-38	LNCAP	8.0025
ABT-888	SORAFENIB	LNCAP	3.72
ABT-888	TOPOTECAN	LNCAP	-8.145000000000001
AZD1775	ABT-888	LNCAP	-11.88
AZD1775	BEZ-235	LNCAP	0.13
AZD1775	BORTEZOMIB	LNCAP	-4.5175
AZD1775	DASATINIB	LNCAP	-1.0825
